faction id,name,text
keleres,Council Patronage,"At the start of the strategy phase. Replenish your commodities, then gain 1 trade good."
keleres,Law's Order,At the start of any player's turn. You may spend 1 trade good or 1 commodity to treat all laws as blank until the end of that turn.
keleres,The Tribuni,"During setup, choose an unplayed faction from among the Mentak, the Xxcha and The Argent Flight; take that faction's home system, command tokens and control markers. Additionally, take the Keleres Hero that corresponds to that faction"
lizards,Miniaturization,"Your structures can be transported by any ship; this does not require or count against capacity. While your structures are in the space area, they cannot use their unit abilities. At the end of your tactical actions. you may place your structures that are in space areas onto planets you control in their respective systems."
lizards,Survival Instinct,After a player activates a system that contains your ships. you may move up to 2 of your ships into the active system from adjacent systems that do not contain your command tokens.
lizix,Assimilate,When you gain control of a planet. Replace each PDS and space dock that is on that planet with a matching unit from your reinforcements.
lizix,Harrow,At the end of each round of ground combat. Your ships in the active system may use their BOMBARDMENT abilities against your opponent's ground forces on the planet.
mahact,Edict,Other player's tokens in your fleet pool increase your fleet limit but cannot be redistributed. When you win a combat. Place 1 command token from your opponent's reinforcements in your fleet pool if it does not already contain 1 of that player's tokens.
mahact,Hubris,"During setup, purge your ""Alliance"" promissory note. Other players cannot give you their 'Alliance"" promissory note."
mahact,Imperia,"While another player's command token is in your fleet pool, you can use the ability of that player's commander, if it is unlocked."
mentak,Ambush,"At the start of a space combat. You may roll 1 die for each of up to 2 of your cruisers or destroyers in the system. For each result equal to or greater than that ship's combat value, produce 1 hit; your opponent must assign it to 1 of their ships."
mentak,Pillage,"After 1 of your neighbors gains trade goods or resolves a transaction. If they have 3 or more trade goods, you may take 1 of their trade goods or commodities."
muaat,Gashlai Physiology,Your ships can move through supernovas
muaat,Star Forge,ACTION. Spend 1 token from your strategy pool to place either 2 fighters or 1 destroyer from your reinforcements in a system that contains 1 or more of your war suns.
naalu,Foresight,After another player moves ships into a system that contains 1 or more of your ships. You may place 1 token from your strategy pool in an adjacent system that does not contain another player's ships; move your ships from the active system into that system.
naalu,Telepathic,"At the end of the strategy phase. Place the Naalu ""0"" token on your strategy card; you are first in initiative order."
nekro,Galactic Threat,"You cannot vote on agendas Once per agenda phase, after an agenda is revealed. You may predict aloud the outcome of that agenda. If your prediction is correct, gain 1 technology that is owned by a player who voted how you predicted."
nekro,Propagation,You cannot research technology When you would research a technology. Gain 3 command tokens instead.
nekro,Technological Singularity,"Once per combat, after 1 of your opponent's units is destroyed. You may gain 1 technology that is owned by that player."
nomad,Future Sight,"During the Agenda phase, after an outcome that you voted for or predicted is resolved. Gain 1 trade good"
nomad,The Company,"During setup, take the 2 additional Nomad faction agents and place them next to your faction sheet; you have 3 agents"
nra,Distant Suns,When you explore a planet that contains 1 of your mechs. You may draw 1 additional card; choose 1 to resolve and discard the rest.
nra,Fabrication,ACTION. Either purge 2 of your relic fragments of the same type to gain 1 relic; or purge 1 of your relic fragments to gain 1 command token.
obsidian,Marionettes,The player or players whose control tokens are on each plot card are the puppeted players for that plot.
obsidian,Nocturne,This faction cannot be chosen during setup.
obsidian,The Blade's Orchestra,"When this faction comes into play. flip your home system, double-sided faction components, and all of your in-play plot cards. Then, ready Cronos Hollow and Tallin Hollow if you control them."
saar,Nomadic,You can score objectives even if you do not control the planets in your home system.
saar,Scavenge,After you gain control of a planet. Gain 1 trade good.
sardakk,Unrelenting,Apply +1 to the result of each of your unit's combat rolls.
sol,Orbital Drop,ACTION. Spend 1 token from your strategy pool to place 2 infantry from your reinforcements on 1 planet you control.
sol,Versatile,When you gain command tokens during the status phase. Gain 1 additional command token.
titans,Awaken,After you activate a system that contains 1 or more of your sleeper tokens. You may replace each of those tokens with 1 PDS from your reinforcements.
titans,Coalescence,"If your flagship or your AWAKEN faction ability places your units into the same space area or onto the same planet as another player's units, your units must participate in combat during ""Space Combat"" or ""Ground Combat"" steps."
titans,Terragenesis,After you explore a planet that does not have a sleeper token. You may place or move 1 sleeper token onto that planet.
winnu,Blood Ties,You do not have to spend influence to remove the custodians token from Mecatol Rex.
winnu,Reclamation,After you resolve a tactical action during which you gained control of Mecatol Rex. You may place 1 PDS and 1 space dock from your reinforcements on Mecatol Rex.
xxcha,Peace Accords,"After you resolve the primary or secondary ability of the ""Diplomacy"" strategy card. You may gain control of 1 planet other than Mecatol Rex that does not contain any units and is in a system that is adjacent to a planet you control."
xxcha,Quash,When an agenda is revealed. You may spend 1 token from your strategy pool to discard that agenda and reveal 1 agenda from the top of the deck. Players vote on this agenda instead.
yin,Devotion,After each space combat round. You may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit and assign it to 1 of your opponent's ships in that system.
yin,Indoctrination,At the start of a ground combat. You may spend 2 influence to replace 1 of your opponent's participating infantry with 1 infantry from your reinforcements.
yin,Yin Breakthrough,"When you gain this card or score a public objective, gain the alliance ability of a random, unused faction."
yssaril,Crafty,You can have any number of action cards in your hand. Game effects cannot prevent you from using this ability.
yssaril,Scheming,"When you draw 1 or more action cards. Draw 1 additional action card. Then, choose and discard 1 action card from your hand."
yssaril,Stall Tactics,ACTION. Discard 1 action card from your hand
